"Kerncijfers wijken en buurten 2015"
"Onderwerpen";"Regioaanduiding";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen"
"Onderwerpen";"Codering";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; leeftijd";"Personenauto's; leeftijd";"Personenauto's; brandstoftype";"Personenauto's; brandstoftype";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; jonger dan 6 jaar";"Personenauto's; 6 jaar en ouder";"Personenauto's; brandstof benzine";"Personenauto's; overige brandstof";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Wijken en buurten";"code";"aantal";"aantal";"aantal";"aantal";"aantal";"per huishouden";"per km²";"aantal";"aantal"
"Veldkant";"BU02130604";"100";"30";"70";"80";"20";"1.6";"239";"15";"0"
"Eerbeekse Enk";"BU02130605";"1575";"295";"1280";"1360";"215";"1.1";"2616";"105";"195"
"Eerbeek Zuid";"BU02130606";"110";"40";"70";"80";"30";"1.7";"174";"115";"5"
"Het Hungeling";"BU02130607";"175";"60";"115";"135";"40";"1.4";"265";"25";"20"
"Wilhelminapark";"BU02130608";"235";"95";"135";"170";"60";"1.5";"421";"5";"5"
"Verspreide huizen Eerbeek";"BU02130609";"410";"125";"290";"330";"85";"1.5";"79";"135";"50"
"Coldenhove";"BU02130610";"80";"20";"60";"65";"15";"1.3";"10";"10";"15"
"Buren";"GM0214";"14750";"4445";"10305";"11575";"3180";"1.4";"110";"3105";"1435"
"Wijk 00 Buren";"WK021400";"2050";"645";"1405";"1545";"510";"1.4";"83";"505";"180"
"Buren-Oude Kern";"BU02140000";"260";"85";"175";"190";"70";"1.3";"2110";"10";"15"
"Buren Appelenboomgaard";"BU02140001";"555";"225";"330";"400";"155";"1.6";"1234";"225";"35"
"Buren Tielseweg";"BU02140002";"445";"100";"345";"370";"75";"1.4";"1050";"110";"60"
"Asch";"BU02140003";"200";"60";"140";"150";"45";"1.6";"230";"40";"20"
"Erichem";"BU02140004";"270";"75";"190";"190";"80";"1.7";"493";"50";"25"
"Verspr.h. poldergebied Buurmalsen";"BU02140006";"30";"10";"20";"25";"5";".";".";"5";"0"
"Verspreide huizen Erichem";"BU02140007";"35";"10";"25";"20";"10";".";".";"10";"0"
"Verspreide huizen Asch";"BU02140008";"40";"10";"30";"30";"10";".";".";"15";"0"
"Verspreide huizen Buren";"BU02140009";"220";"70";"150";"170";"50";"1.2";"26";"40";"15"
"Wijk 01 Beusichem";"WK021401";"2100";"690";"1410";"1695";"400";"1.4";"180";"270";"215"
"Beusichem";"BU02140100";"1495";"505";"990";"1210";"280";"1.3";"1640";"140";"150"
"Zoelmond";"BU02140101";"320";"95";"220";"260";"60";"1.4";"1076";"25";"40"
"Verspreide huizen Beusichem en Zoelmond";"BU02140109";"285";"90";"195";"225";"65";"1.6";"27";"105";"20"
"Wijk 02 Zoelen";"WK021402";"1835";"605";"1230";"1435";"400";"1.4";"80";"330";"175"
"Zoelen";"BU02140200";"625";"185";"445";"495";"130";"1.5";"455";"95";"65"
"Kerk Avezaath";"BU02140201";"670";"255";"415";"545";"125";"1.4";"753";"90";"70"
"De Woerd";"BU02140202";"85";"25";"60";"70";"15";"1.7";"354";"5";"5"
"Verspreide huizen ten oosten van kanaal";"BU02140206";"120";"60";"65";"70";"50";"1.7";"30";"30";"5"
"Verspreide huizen Zoelen";"BU02140207";"205";"50";"150";"155";"50";"1.3";"19";"60";"15"
"Verspreide huizen Kerk Avezaath";"BU02140208";"30";"10";"20";"20";"5";".";".";"10";"0"
"Verspreide huizen Kapel Avezaath";"BU02140209";"100";"25";"75";"80";"20";"1.4";"24";"40";"15"
"Wijk 03 Lienden";"WK021403";"3575";"1060";"2510";"2820";"750";"1.4";"146";"675";"350"
"Lienden";"BU02140300";"1895";"535";"1360";"1570";"330";"1.4";"1278";"285";"165"
"Ommeren met Den Eng";"BU02140301";"250";"75";"175";"190";"60";"1.4";"206";"60";"20"
"Ommerveld en verspr.h. polder Meerten";"BU02140305";"195";"30";"165";"150";"45";"1.9";"50";"80";"15"
"Verspr.h. Aalst Leutes polder Aalst";"BU02140306";"685";"255";"430";"505";"180";"1.6";"92";"140";"85"
"Verspreide huizen De Mars en Marsdijk";"BU02140307";"165";"40";"125";"110";"55";"1.9";"27";"65";"30"
"Verspreide huizen Lienden";"BU02140308";"380";"125";"260";"300";"85";"1.2";"88";"45";"35"
"Wijk 04 Ingen";"WK021404";"1155";"315";"845";"875";"280";"1.4";"93";"260";"145"
"Ingen";"BU02140400";"560";"155";"405";"430";"130";"1.3";"746";"95";"70"
"Klinkenberg";"BU02140402";"170";"40";"135";"140";"30";"1.2";"382";"45";"30"
"Verspreide huizen Klinkenberg";"BU02140408";"345";"100";"245";"245";"100";"1.8";"63";"85";"35"
"Verspr.h. Ommerenveld en Zwarte Paard";"BU02140409";"80";"20";"60";"55";"25";"1.6";"14";"40";"5"
"Wijk 05 Maurik";"WK021405";"3735";"1055";"2680";"2985";"755";"1.4";"139";"970";"345"
"Maurik";"BU02140500";"1700";"480";"1215";"1415";"280";"1.3";"1285";"205";"165"
"Rijswijk";"BU02140501";"205";"60";"140";"150";"55";"1.3";"675";"25";"20"
"Eck en Wiel";"BU02140502";"615";"195";"420";"500";"115";"1.5";"1956";"70";"60"
"Ganzert";"BU02140503";"155";"40";"115";"115";"40";"2.1";"213";"40";"10"
"Verspreide huizen Rijswijk";"BU02140507";"115";"40";"75";"80";"30";"1.5";"30";"50";"10"
"Verspreide huizen Maurik";"BU02140508";"575";"135";"440";"455";"120";"1.6";"41";"170";"45"
"Verspreide huizen Eck en Wiel";"BU02140509";"375";"100";"275";"270";"105";"1.4";"58";"410";"35"
"Wijk 06 Ravenswaaij";"WK021406";"315";"80";"235";"230";"85";"1.6";"29";"95";"30"
"Ravenswaaij";"BU02140600";"110";"25";"85";"85";"25";"1.5";"591";"30";"5"
"Verspreide huizen Ravenswaaij";"BU02140608";"150";"40";"110";"100";"45";"1.8";"39";"45";"15"
"Verspreide huizen poldergebied";"BU02140609";"60";"15";"45";"45";"15";".";".";"25";"5"
"Culemborg";"GM0216";"12100";"4125";"7975";"9575";"2525";"1.0";"411";"1300";"880"
"Wijk 00";"WK021600";"11945";"3980";"7970";"9480";"2470";"1.0";"406";"1210";"880"
"Oude Binnenstad en Nieuwstad";"BU02160000";"1055";"240";"815";"835";"220";"0.8";"2793";"120";"90"
"Oude Buitenwijken";"BU02160001";"815";"225";"590";"615";"200";"1.0";"1332";"60";"70"
"Noordoostelijke Buitenwijken";"BU02160002";"1665";"535";"1135";"1345";"320";"1.1";"1396";"85";"125"
"Zuidoostelijke Buitenwijken Ter Weijde";"BU02160003";"3180";"880";"2305";"2670";"515";"0.9";"2087";"195";"225"
"Industriegebied";"BU02160004";"815";"300";"510";"555";"260";"1.3";"546";"405";"55"
"Westelijke Buitenwijken";"BU02160005";"3325";"1340";"1980";"2680";"645";"1.1";"2080";"130";"225"
"Verspreide huizen Redichem";"BU02160008";"75";"20";"55";"55";"15";"1.3";"20";"15";"5"
"Verspr.h. ten W. en Z. van Culemborg";"BU02160009";"1020";"435";"580";"725";"295";"1.2";"54";"200";"90"
"Doesburg";"GM0221";"5460";"1475";"3985";"4485";"975";"1.1";"472";"520";"485"
"Wijk 01";"WK022101";"5455";"1470";"3985";"4485";"970";"1.1";"472";"400";"485"
"De oude Stad binnen de gracht";"BU02210100";"1245";"380";"865";"995";"255";"1.0";"1684";"105";"95"
"Noordelijk Molenveld";"BU02210101";"530";"135";"390";"450";"80";"0.9";"1262";"30";"35"
"Zuidelijk Molenveld";"BU02210102";"365";"50";"315";"320";"45";"0.7";"1583";"15";"50"
"De Ooi";"BU02210103";"965";"175";"790";"785";"180";"0.9";"1450";"40";"55"
"Beinum I";"BU02210104";"1530";"415";"1115";"1310";"220";"1.2";"2553";"70";"160"
"Beinum II";"BU02210105";"585";"230";"355";"475";"105";"1.5";"867";"20";"60"
"Bedrijventerrein Beinum";"BU02210106";"85";"45";"40";"40";"45";".";".";"80";"0"
"Bedrijventerrein Verhuellweg";"BU02210107";"20";"10";"10";"10";"10";".";".";"10";"0"
"Verspreide huizen Noordoost";"BU02210108";"115";"25";"90";"85";"30";"1.5";"27";"25";"20"
"Verspreide huizen Fraterswaard-Noordoost";"BU02210109";"0";"0";"0";"0";"0";".";".";"0";"0"
"Verspreide huizen IJssel en Oude IJssel";"BU02210110";"20";"5";"15";"15";"0";".";".";"0";"5"
"Doetinchem";"GM0222";"27775";"8720";"19055";"22895";"4880";"1.1";"351";"3220";"2340"
"Wijk 01 Doetinchem Centrum";"WK022201";"1935";"615";"1315";"1625";"310";"0.9";"1558";"185";"135"
"Stadscentrum-Zuid";"BU02220101";"430";"120";"310";"370";"60";"0.7";"2297";"60";"25"
"Torenallee";"BU02220102";"180";"75";"105";"150";"35";"1.2";"1619";"10";"10"
"Het Loo";"BU02220103";"310";"110";"195";"250";"60";"1.1";"1438";"40";"20"
"Stadscentrum-Noord";"BU02220104";"405";"110";"300";"345";"60";"0.7";"1914";"40";"30"
"De Pas-Noord";"BU02220105";"255";"85";"170";"225";"30";"0.9";"1021";"15";"20"
"De Pas-Zuid";"BU02220106";"355";"120";"235";"285";"65";"1.0";"1330";"20";"20"
"Wijk 02";"WK022202";"2890";"630";"2260";"2550";"340";"0.8";"905";"165";"195"
"Muziekbuurt";"BU02220201";"315";"50";"265";"280";"30";"0.7";"1420";"35";"25"
"Schrijvers en dichtersbuurt";"BU02220202";"570";"130";"440";"515";"55";"0.7";"1592";"30";"45"
"Wiltinksbrug";"BU02220203";"160";"60";"100";"125";"35";"1.4";"1509";"0";"5"
"Overstegen-West";"BU02220204";"915";"190";"730";"835";"80";"0.8";"2220";"40";"50"
"Overstegen-Oost";"BU02220205";"765";"150";"615";"670";"95";"0.8";"2149";"30";"30"
"Wonninkhage";"BU02220206";"100";"40";"60";"80";"20";"1.4";"330";"5";"5"
"Buitengebied de Gaarde";"BU02220207";"20";"0";"20";"15";"5";".";".";"5";"0"
"Wassinkbrink-Zuidoost";"BU02220208";"40";"10";"30";"25";"15";".";".";"20";"35"
"Wijk 03";"WK022203";"1230";"300";"930";"1070";"160";"1.0";"1772";"85";"135"
"Holterbroek";"BU02220301";"125";"30";"95";"100";"25";"1.2";"1471";"15";"15"
"Schöneveld-Zuid";"BU02220302";"475";"125";"345";"420";"55";"0.9";"2181";"25";"55"
"Schöneveld-Noord";"BU02220303";"630";"140";"490";"550";"85";"1.0";"1610";"40";"65"
"Wijk 04";"WK022204";"1935";"520";"1415";"1565";"370";"1.2";"93";"225";"175"
"Oosseld en Vijverberg-Zuidwest";"BU02220401";"1145";"330";"815";"940";"205";"1.1";"1579";"90";"105"
"Buitengebied Polmanlaan";"BU02220402";"65";"10";"55";"50";"15";"1.3";"63";"20";"0"
"Buitengebied de Wrange";"BU02220403";"100";"15";"85";"75";"25";"0.9";"61";"20";"15"
"Koekendaal en Vijverberg-Noordoost";"BU02220404";"200";"65";"140";"155";"50";"1.4";"131";"10";"15"
"Buitengebied Vossenstraat";"BU02220405";"25";"10";"15";"15";"10";".";".";"0";"5"
"Buitengebied Nutselaer en Abdij";"BU02220406";"60";"5";"50";"50";"10";".";".";"15";"10"
"Buitengebied IJzevoorde";"BU02220407";"165";"40";"125";"135";"25";"1.5";"40";"35";"15"
"Buitengebied Slangenburg";"BU02220408";"175";"45";"130";"145";"30";"1.6";"24";"30";"20"
"Wijk 05";"WK022205";"410";"230";"180";"260";"150";"1.9";"152";"325";"25"
"Hamburgerbroek";"BU02220501";"110";"45";"70";"100";"10";"0.9";"497";"10";"10"
"Verheulsweide-Noord";"BU02220502";"45";"20";"25";"35";"10";".";".";"50";"0"
"Verheulsweide-Zuid";"BU02220503";"220";"160";"60";"100";"120";".";".";"250";"5"
"Buitengebied Kemnaderallee";"BU02220504";"30";"10";"25";"25";"5";".";".";"15";"10"
"Wijk 06";"WK022206";"5105";"1565";"3535";"4230";"875";"1.2";"974";"395";"490"
"De Hoop-Noord";"BU02220601";"560";"190";"370";"405";"155";"1.3";"1645";"20";"60"
"De Huet fase 1 + 3";"BU02220602";"855";"215";"645";"745";"110";"1.0";"2201";"35";"80"
"De Huet fase 2";"BU02220603";"900";"255";"640";"760";"140";"1.1";"2442";"50";"95"
"De Huet fase 4";"BU02220604";"525";"160";"365";"465";"60";"1.1";"1776";"25";"60"
"De Huet fase 6 + 7";"BU02220605";"985";"345";"645";"815";"170";"1.3";"1514";"25";"75"
"De Huet fase 5";"BU02220606";"1080";"255";"825";"910";"170";"1.2";"2929";"40";"115"
"Sportpark Zuid";"BU02220607";"0";"0";"0";"0";"0";".";".";"15";"0"
"Bedrijventerrein De Huet";"BU02220608";"185";"140";"45";"115";"65";".";".";"175";"10"
"Buitengebied De Huet";"BU02220609";"15";"5";"10";"10";"5";".";".";"0";"0"
"Wijk 07";"WK022207";"3845";"1515";"2335";"3145";"705";"1.2";"967";"420";"285"
"Buitengebied Dichteren Noordwest";"BU02220701";"0";"0";"0";"0";"0";".";".";"0";"0"
"Romantische buurt Noord";"BU02220702";"560";"220";"340";"470";"90";"1.2";"2791";"10";"35"
"Romantische buurt Zuid";"BU02220703";"405";"150";"255";"335";"70";"1.2";"1677";"15";"40"
"Landelijk Wonen";"BU02220704";"420";"150";"270";"345";"75";"1.3";"1841";"15";"30"
"Kleurrijke buurt";"BU02220705";"315";"115";"200";"260";"60";"0.9";"1394";"10";"20"
"Stadskwartier-Zuid";"BU02220706";"640";"195";"445";"545";"95";"1.1";"2734";"40";"70"
"Stadskwartier-Noord";"BU02220707";"510";"155";"355";"435";"75";"1.0";"3318";"20";"35"
"Buitengebied en Dichterem-Oost";"BU02220708";"40";"15";"25";"35";"10";".";".";"5";"5"
"Bedrijventerrein en Wijnbergen";"BU02220709";"440";"400";"40";"290";"150";".";".";"265";"0"
"Wijnbergen-het Westem";"BU02220710";"135";"40";"95";"115";"20";"1.1";"617";"5";"15"
"Wijnbergen-het Midden";"BU02220711";"10";"5";"5";"5";"5";".";".";"0";"0"
"Wijnbergen-het Oosten";"BU02220712";"70";"25";"40";"45";"20";".";".";"15";"10"
"De Hoop-Zuid";"BU02220713";"295";"45";"250";"265";"30";"0.9";"1191";"20";"20"
"Wijk 08";"WK022208";"1385";"1135";"255";"730";"660";".";".";"385";"50"
"IJsseltuin en Heelweg";"BU02220801";"290";"130";"155";"245";"40";"1.3";"1164";"20";"25"
"Bedrijventerrein Keppelseweg";"BU02220802";"1025";"980";"45";"420";"605";".";".";"350";"20"
"Buitengebied Keppelseweg";"BU02220803";"25";"5";"20";"20";"5";".";".";"10";"0"
"Langerak-Zuid";"BU02220804";"50";"15";"35";"45";"5";".";".";"5";"10"
"Wijk 09";"WK022209";"3045";"730";"2315";"2580";"470";"1.0";"451";"285";"270"
"Het Loo";"BU02220901";"245";"100";"145";"205";"40";"1.3";"1728";"15";"20"
"De Happert Ziekenhuis";"BU02220902";"130";"50";"80";"100";"30";"1.7";"599";"5";"10"
"De Kruisberg";"BU02220903";"160";"35";"120";"135";"25";"1.3";"407";"20";"10"
"De Happert Leerinkstraat";"BU02220904";"480";"120";"360";"410";"70";"0.8";"1549";"25";"60"
"De IJkenberg";"BU02220905";"900";"150";"750";"785";"115";"0.8";"2146";"110";"60"
"De Bezelhorst";"BU02220906";"860";"195";"665";"740";"125";"1.1";"2178";"65";"65"
"Buitengebied De Kruisberg";"BU02220907";"35";"15";"20";"25";"10";".";".";"5";"5"
"Buitengebied Groot Hagen";"BU02220908";"100";"25";"75";"80";"20";"1.4";"86";"15";"30"
"Langerak-Noord";"BU02220909";"60";"15";"50";"55";"10";".";".";"0";"5"
"Buitengebied Christoffelstraat";"BU02220910";"0";"0";"0";"0";"0";".";".";"0";"0"
"Wassinkbrink-Noordwest";"BU02220911";"70";"20";"45";"45";"20";".";".";"25";"10"
"Wijk 11 Buitengebied Doetinchem";"WK022211";"2690";"615";"2075";"2295";"395";"1.1";"297";"290";"245"
"Vulcaansoord en het Richtersbos-Zuid";"BU02221101";"715";"215";"495";"610";"100";"1.2";"1234";"65";"60"
"De Elshof-Zuid";"BU02221102";"520";"95";"425";"445";"75";"1.0";"1464";"35";"40"
"De Pol en Akkermansweide";"BU02221103";"100";"40";"65";"80";"25";"1.5";"76";"65";"5"
"Het Hartger en de Elshof-Noord";"BU02221104";"1080";"220";"860";"940";"140";"1.1";"1017";"60";"110"
"Buitengebied 't Klooster";"BU02221105";"10";"0";"10";"10";"5";".";".";"5";"0"
"Buitengebied Pierikstraat";"BU02221106";"190";"35";"160";"155";"40";"1.6";"55";"20";"20"
"Buitengebied Pinnedijk";"BU02221107";"70";"10";"60";"60";"15";".";".";"40";"10"
"Wijk 31 Wehl";"WK022231";"3280";"845";"2435";"2845";"435";"1.2";"139";"335";"340"
"Wehl-Centrum";"BU02223101";"2085";"540";"1545";"1845";"235";"1.1";"1555";"185";"215"
"Wehl-West";"BU02223102";"65";"10";"55";"55";"10";".";".";"10";"5"
"Wehl-Zuidwest";"BU02223103";"235";"60";"175";"190";"45";"1.3";"76";"10";"20"
"Wehl-Zuidoost";"BU02223104";"155";"30";"125";"130";"25";"1.4";"45";"20";"20"
"Wehl-Oost";"BU02223105";"45";"10";"35";"40";"5";".";".";"5";"5"
"Wehl-Noordoost";"BU02223106";"60";"10";"55";"50";"10";".";".";"10";"0"
"Wehl-Noord";"BU02223107";"110";"35";"75";"90";"20";"2.1";"43";"20";"15"
"Nieuw-Wehl-Centrum";"BU02223108";"325";"100";"225";"270";"55";"1.6";"928";"35";"45"
"Nieuw-Wehl-Noordoost";"BU02223109";"90";"20";"70";"80";"10";"0.9";"23";"5";"5"
"Nieuw-Wehl-Noord";"BU02223110";"105";"30";"75";"85";"20";"1.4";"42";"25";"10"
"A18 Bedrijvenpark";"BU02223111";"5";"0";"5";"5";"0";".";".";"10";"0"
"Druten";"GM0225";"9165";"2650";"6515";"7230";"1935";"1.2";"243";"1410";"795"
"Druten";"WK022500";"5845";"1735";"4105";"4555";"1285";"1.2";"705";"830";"455"
"Druten";"BU02250001";"2825";"840";"1985";"2295";"530";"1.1";"1411";"275";"195"
"Druten Zuid";"BU02250002";"1660";"390";"1270";"1265";"395";"1.2";"2249";"190";"155"
"Druten Bouwing";"BU02250003";"1170";"425";"740";"890";"280";"1.4";"2151";"80";"95"
"Druten Westerhout";"BU02250004";"130";"60";"70";"70";"60";".";".";"205";"5"
"Druten Buitengebied";"BU02250005";"10";"5";"5";"5";"5";".";".";"5";"0"
"Drutense Waarden";"BU02250006";"50";"20";"35";"30";"20";".";".";"75";"0"
"Puiflijk";"WK022501";"645";"205";"440";"520";"130";"1.3";"117";"65";"60"
"Puiflijk";"BU02250101";"610";"200";"410";"490";"115";"1.4";"1376";"55";"55"
"Puiflijk Buitengebied";"BU02250102";"40";"5";"35";"25";"10";".";".";"5";"5"
"Afferden";"WK022502";"830";"245";"585";"685";"145";"1.3";"109";"150";"85"
"Afferden";"BU02250201";"740";"225";"515";"620";"120";"1.3";"809";"95";"80"
"Afferden Buitengebied";"BU02250202";"90";"20";"70";"65";"25";"1.0";"16";"55";"5"
"Afferdense Waarden";"BU02250203";"0";"0";"0";"0";"0";".";".";"0";"0"
"Deest";"WK022503";"930";"215";"710";"755";"170";"1.2";"225";"120";"115"
"Deest";"BU02250301";"870";"200";"675";"715";"155";"1.2";"966";"105";"110"
"Deest Buitengebied";"BU02250302";"45";"15";"35";"35";"15";".";".";"15";"0"
"Deestse Waarden";"BU02250303";"10";"5";"5";"10";"0";".";".";"0";"0"
"Horssen";"WK022504";"890";"220";"670";"700";"190";"1.4";"73";"190";"85"
"Horssen";"BU02250401";"630";"170";"455";"515";"115";"1.4";"1189";"95";"60"
"Horssen Molenhoek";"BU02250402";"85";"15";"70";"60";"25";"1.7";"207";"35";"5"
"Horssen Buitengebied";"BU02250403";"175";"30";"140";"120";"50";"1.4";"16";"60";"15"
"Duiven";"GM0226";"12535";"4250";"8290";"10440";"2095";"1.2";"370";"1400";"1180"
"Wijk 01 Bedrijventerrein";"WK022601";"405";"325";"80";"150";"255";".";".";"595";"5"
"Bedrijventerrein";"BU02260101";"405";"325";"80";"150";"255";".";".";"595";"5"
"Wijk 02 Buitengebied";"WK022602";"75";"15";"60";"55";"20";".";".";"25";"10"
"Het Broek";"BU02260201";"75";"15";"60";"55";"20";".";".";"25";"10"
"Wijk 03 Duiven-Noord";"WK022603";"6745";"2130";"4615";"5750";"995";"1.1";"1322";"380";"645"
"West";"BU02260301";"1690";"510";"1175";"1470";"215";"1.0";"743";"65";"140"
"Oud Zuid";"BU02260302";"1165";"270";"895";"1005";"160";"1.0";"2372";"65";"125"
"Centrum";"BU02260303";"385";"110";"280";"325";"60";"1.0";"1589";"40";"30"
"De Vergert";"BU02260304";"1145";"310";"835";"960";"180";"1.2";"2079";"110";"140"
"De Nieuweling";"BU02260305";"670";"265";"405";"545";"125";"1.4";"1654";"30";"50"
"De Ploen";"BU02260306";"340";"145";"195";"290";"50";"1.1";"704";"5";"30"
"Noord";"BU02260307";"500";"190";"310";"440";"60";"1.2";"1450";"40";"50"
"Lommerweide";"BU02260308";"855";"330";"520";"710";"140";"1.2";"2712";"20";"85"
"Wijk 04 Duiven-Zuid";"WK022604";"3670";"1280";"2390";"3110";"560";"1.1";"1311";"150";"325"
"Zuidwest";"BU02260401";"1450";"470";"985";"1225";"225";"1.1";"884";"55";"135"
"Zuidoost";"BU02260402";"2220";"815";"1405";"1880";"335";"1.1";"1917";"100";"185"
"Wijk 05 Groessen";"WK022605";"1085";"310";"775";"910";"180";"1.4";"123";"135";"150"
"Groessen";"BU02260501";"1085";"310";"775";"910";"180";"1.4";"123";"135";"150"
"Wijk 06 Loo";"WK022606";"545";"180";"365";"465";"85";"1.3";"119";"65";"50"
"Loo Gld";"BU02260601";"545";"180";"365";"465";"85";"1.3";"119";"65";"50"
"Ede";"GM0228";"52565";"14975";"37590";"41395";"11170";"1.1";"165";"8265";"4355"
"Ede-Oost";"WK022801";"4530";"1335";"3195";"3805";"725";"0.9";"1542";"310";"420"
"Centrum Ede";"BU02280101";"1565";"435";"1130";"1340";"220";"0.8";"2566";"125";"125"
"Bosrand";"BU02280102";"185";"65";"120";"130";"55";"1.2";"337";"35";"40"
"Komponistenbuurt";"BU02280103";"875";"275";"605";"720";"160";"1.1";"1541";"45";"105"
"Burgemeestersbuurt";"BU02280104";"1025";"270";"755";"845";"180";"1.1";"1466";"55";"95"
"Stationsbuurt";"BU02280105";"880";"290";"585";"770";"110";"0.9";"1728";"45";"55"
"Ede-West";"WK022802";"6650";"1660";"4995";"5700";"955";"1.0";"2449";"585";"640"
"Zeeheldenbuurt";"BU02280201";"1325";"405";"920";"1105";"220";"1.1";"2127";"80";"140"
"Indische buurt";"BU02280202";"1000";"205";"795";"835";"165";"1.0";"2520";"135";"85"
"Vogelbuurt";"BU02280203";"1260";"315";"945";"1110";"155";"0.8";"3049";"100";"115"
"Bloemenbuurt";"BU02280204";"1205";"255";"950";"1040";"165";"0.9";"2854";"125";"125"
"Beatrixpark";"BU02280205";"940";"225";"715";"820";"120";"0.9";"1877";"30";"80"
"Klaphek";"BU02280206";"925";"250";"675";"795";"130";"1.0";"2555";"120";"95"
"Ede-Veldhuizen";"WK022803";"5600";"1335";"4265";"4635";"965";"0.9";"1823";"255";"420"
"De Horsten";"BU02280301";"845";"135";"710";"680";"165";"0.8";"3028";"35";"80"
"De Burgen";"BU02280302";"635";"100";"540";"505";"135";"0.8";"2258";"30";"35"
"De Steinen";"BU02280303";"1130";"280";"850";"965";"165";"0.8";"2540";"45";"85"
"De Dalen";"BU02280305";"845";"255";"595";"700";"150";"0.9";"1204";"25";"45"
"De Velden en Beken";"BU02280306";"1070";"270";"800";"910";"160";"1.0";"1130";"60";"75"
"De Hoven";"BU02280307";"1070";"295";"775";"880";"190";"1.1";"2581";"60";"100"
"Kernhem";"WK022804";"1760";"515";"1240";"1405";"355";"1.2";"1373";"65";"150"
"De Bergen";"BU02280401";"385";"110";"275";"300";"85";"1.2";"1554";"10";"45"
"De Bossen";"BU02280402";"1030";"325";"705";"820";"210";"1.2";"3241";"40";"80"
"De Venen en Zanden";"BU02280403";"340";"80";"260";"285";"60";"1.1";"479";"15";"25"
"Veluwse Poort";"WK022805";"35";"10";"25";"25";"15";"0.3";"34";"5";"0"
"Veluwse Poort";"BU02280501";"35";"10";"25";"25";"15";"0.3";"34";"5";"0"
"Ede-Zuid";"WK022810";"3415";"750";"2660";"2795";"615";"0.8";"1079";"300";"280"
"Uitvindersbuurt";"BU02281001";"945";"180";"765";"770";"170";"0.9";"2039";"75";"65"
"Hoogbouw-Zuid";"BU02281002";"645";"95";"550";"545";"100";"0.5";"3178";"40";"55"
"Reehorst";"BU02281003";"1475";"360";"1115";"1215";"255";"0.8";"1042";"125";"140"
"Enka";"BU02281004";"350";"120";"230";"260";"90";"1.2";"325";"60";"20"
"Maandereng";"WK022811";"2910";"720";"2190";"2465";"445";"1.0";"3162";"210";"250"
"Elskamp";"BU02281101";"1330";"290";"1040";"1110";"220";"1.0";"3263";"65";"120"
"Maandereng-Oost";"BU02281102";"790";"200";"595";"675";"115";"1.0";"3608";"45";"55"
"De Hoef";"BU02281103";"785";"230";"555";"680";"110";"1.2";"2688";"100";"80"
"Rietkampen";"WK022812";"3555";"1140";"2415";"2965";"590";"1.1";"2635";"155";"265"
"De Parken";"BU02281201";"480";"165";"315";"405";"75";"1.1";"1905";"15";"30"
"De Dreven";"BU02281202";"980";"300";"675";"815";"165";"1.2";"2776";"40";"80"
"De Singels";"BU02281203";"1060";"355";"705";"880";"180";"1.1";"2497";"40";"85"
"De States";"BU02281204";"1040";"320";"720";"865";"175";"1.2";"3233";"60";"70"
"Bedrijventerrein";"WK022813";"2170";"1590";"580";"445";"1730";".";".";"1710";"45"
"Frankeneng";"BU02281301";"160";"100";"60";"55";"105";".";".";"185";"5"
"Heestereng";"BU02281302";"1475";"1085";"390";"205";"1270";".";".";"1010";"25"
"De Vallei";"BU02281303";"200";"195";"5";"50";"150";".";".";"40";"0"
"Schuttersveld-Zuid";"BU02281304";"125";"95";"30";"25";"100";".";".";"140";"5"
"Schuttersveld-Noord";"BU02281305";"50";"20";"30";"30";"20";".";".";"50";"5"
"Kievitsmeent";"BU02281306";"160";"95";"65";"80";"80";".";".";"290";"10"
"Buitengebied Ede-Stad";"WK022820";"1305";"310";"995";"1020";"280";"1.5";"23";"390";"140"
"Maanderbroek";"BU02282031";"225";"55";"170";"180";"45";"1.4";"52";"90";"25"
